 'Republic of the Union of Myanmar'  is not a country in the system;Bassein;	16.75; 	94.71666667; 
 'Republic of the Union of Myanmar'  is not a country in the system;Moulmein;	16.4833333333333; 	97.61666667; 
 'Republic of the Union of Myanmar'  is not a country in the system;Yangon;	16.7833333333333; 	96.25; 
 Africa;Luderitz;	-26.65; 	15.15; 
 Africa;Walvis Bay;	-22.95; 	14.5; 
 'Nauru'  is not a country in the system;Nauru Island;	-0.533333333333333; 	166.9166667; 
 Europe;Amsterdam;	52.3666666666666; 	4.9;
 Europe;Delfzijl;	53.3333333333333; 	6.933333333;
 Europe;Dordrecht;	51.8166666666666; 	4.666666667;
 Europe;Eemshaven;	53.45; 	6.833333333;
 Europe;Groningen;	53.2166666666666; 	6.566666667;
 Europe;IJmuiden;	52.45; 	4.583333333;
 Europe;Rotterdam;	51.9166666666666; 	4.4;
 Europe;Terneuzen;	51.3333333333333; 	3.833333333;
 South America;Kralendijk, Bonaire;	12.15; 	-68.28333333;
 'Rue Baie aux Prumes'  is not a country in the system;Philipsburg;	18.0833333333333; 	-63.16666667; 
 South America;Willemstad;	12.1; 	-68.93333333;
 Australia;Noumea;	-22.2666666666666; 	166.45; 
 Australia;Thio;	-21.6166666666666; 	166.25; 
 Australia;Auckland;	-36.85; 	174.75; 
 Australia;Otago Harbour;	-45.8333333333333; 	170.6166667; 
 Australia;Tauranga;	-37.65; 	176.1833333; 
 Australia;Wellington;	-41.2833333333333; 	174.7833333; 
 North America;Bluefields;	12.0166666666666; 	-83.75; 
 North America;Corinto;	12.5; 	-87.18333333; 
 North America;El Bluff;	12; 	-83.68333333; 
 North America;Puerto Cabezas;	14.0166666666666; 	-83.38333333; 
 North America;Puerto Sandino;	12.2; 	-86.76666667; 
 North America;San Juan Del Sur;	11.2333333333333; 	-85.86666667; 
 Africa;Calabar;	4.96666666666666; 	8.316666667; 
 Africa;Lagos;	6.45; 	3.4; 
 Africa;Onne;	4.65; 	7.15; 
 Africa;Port Harcourt;	4.76666666666666; 	7; 
 Africa;Sapele;	5.91666666666666; 	5.75; 
 Africa;Tin Can Island;	6.41666666666666; 	3.3; 
 Africa;Warri;	5.5; 	5.733333333; 
 'Northern Mariana Islands'  is not a country in the system;Saipan;	15.2166666666666; 	145.7333333; 
 Europe;Bergen;	60.4; 	5.316666667; 
 Europe;Drammen;	59.75; 	10.21666667; 
 Europe;Grenland Harbour (Rafnes, Heroya, Porsgrunn, Brevik, Langesund, Skien);	59.1333333333333; 	9.65; 
 Europe;Hammerfest;	70.6666666666666; 	23.66666667; 
 Europe;Harstad;	68.8; 	16.65; 
 Europe;Haugesund;	59.4166666666666; 	5.266666667; 
 Europe;Kristiansand;	58.15; 	8; 
 Europe;Larvik;	59.05; 	10.03333333; 
 Europe;Oslo;	59.9; 	10.71666667; 
 Europe;Stavanger;	58.9666666666666; 	5.733333333; 
 Europe;Trondheim;	63.4166666666666; 	10.4; 
 Arabia and Persian Gulf;Karachi;	24.8166666666666; 	66.98333333; 
 Arabia and Persian Gulf;Muhammad Bin Qasim;	24.7666666666666; 	67.35; 
 North America;Colon;	9.36666666666666; 	-79.91666667; 
 North America;Cristobal;	9.35; 	-79.91666667; 
 North America;Vacamonte;	8.85; 	-79.66666667; 
 Australia;Kieta;	-6.21666666666666; 	155.6333333; 
 Australia;Lae;	-6.73333333333333; 	146.9833333; 
 Australia;Madang;	-5.21666666666666; 	145.8166667; 
 Australia;Port Moresby;	-9.48333333333333; 	147.15; 
 Australia;Rabaul;	-4.2; 	152.1666667; 
 South America;Callao;	-12.05; 	-77.16666667; 
 South America;Chimbote;	-9.08333333333333; 	-78.61666667; 
 South America;Ilo;	-17.65; 	-71.35; 
 South America;Matarani;	-17; 	-72.11666667; 
 South America;Paita;	-5.08333333333333; 	-81.11666667; 
 South America;Salaverry;	-8.21666666666666; 	-78.98333333; 
 South America;Talara;	-4.58333333333333; 	-81.28333333; 
 India and South East Asia;Batangas;	13.75; 	121.05; 
 India and South East Asia;Cagayan de Oro,;	8.5; 	124.65; 
 India and South East Asia;Cebu;	10.3; 	123.8833333; 
 India and South East Asia;Davao, Mindanao;	7.06666666666666; 	125.6333333; 
 India and South East Asia;Iligan, Mindanao;	8.25; 	124.2; 
 India and South East Asia;Iloilo;	10.6833333333333; 	122.5833333; 
 India and South East Asia;Jolo;	6.05; 	121; 
 India and South East Asia;Legaspi, Davao;	13.15; 	123.75; 
 India and South East Asia;Manila;	14.5833333333333; 	120.9666667; 
 India and South East Asia;Puerto Princesa,;	9.73333333333333; 	118.7166667; 
 India and South East Asia;San Fernando, Luzon;	16.6166666666666; 	120.3; 
 India and South East Asia;Subic Bay;	14.8166666666666; 	120.3; 
 India and South East Asia;Zamboanga, Mindanao;	6.9; 	122.0666667; 
 Europe;Gdansk;	54.35; 	18.65;
 Europe;Gdynia;	54.5333333333333; 	18.56666667;
 Europe;Kolobrzeg;	54.1833333333333; 	15.56666667;
 Europe;Swinoujscie;	53.9166666666666; 	14.25;
 Europe;Szczecin;	53.4166666666666; 	14.53333333;
 Europe;Ustka;	54.5833333333333; 	16.86666667;
 Europe;Aveiro;	40.65; 	-8.75; 
 Europe;Leixoes;	41.1833333333333; 	-8.716666667; 
 Europe;Lisbon;	38.7; 	-9.1; 
 Europe;Portimao;	37.1; 	-8.533333333; 
 Europe;Setubal;	38.5; 	-8.916666667; 
 Europe;Viana Do Castelo;	41.6833333333333; 	-8.8; 
 'Puerto Rico'  is not a country in the system;Guanica Harbour;	17.95; 	-66.9; 
 '00656'  is not a country in the system;Guayanilla;	18; 	-66.76666667; 
 'PR-710'  is not a country in the system;Las Mareas;	17.9166666666666; 	-66.16666667; 
 '00716'  is not a country in the system;Ponce;	17.9666666666666; 	-66.61666667; 
 'Puerto Rico'  is not a country in the system;San Juan;	18.4666666666666; 	-66.11666667; 
 Arabia and Persian Gulf;Doha;	29.3833333333333; 	47.8; 
 ''is not a country in the system;Halul Island;	25.6666666666666; 	52.41666667;
 'Ras Laffan Industrial City'  is not a country in the system;Ras Laffan;	25.9333333333333; 	51.61666667; 
 Arabia and Persian Gulf;Umm Said (Mesaieed);	24.9; 	51.56666667; 
 'Rue Armagnac'  is not a country in the system;Port Reunion;	-20.9166666666666; 	55.28333333; 
 Europe;Braila;	45.25; 	27.98333333; 
 Europe;Constantza;	44.1666666666666; 	28.65; 
 Europe;Mangalia;	43.8166666666666; 	28.58333333; 
 'Tulcea County'  is not a country in the system;Sulina;	45.1666666666666; 	29.66666667; 
 'Russia'  is not a country in the system;Kaliningrad;	54.8833333333333; 	20.51666667; 
 'Russia'  is not a country in the system;Kholmsk;	47.05; 	142.0833333; 
 'Russia'  is not a country in the system;Murmansk;	68.95; 	33.16666667; 
 'Russia'  is not a country in the system;Nakhodka;	42.8; 	132.8833333; 
 'Russia'  is not a country in the system;Novorossiysk;	44.7166666666666; 	37.78333333; 
 'Russia'  is not a country in the system;St Petersburg;	59.8833333333333; 	30.21666667; 
 'Russia'  is not a country in the system;Tuapse;	44.1; 	39.06666667; 
 'Russia'  is not a country in the system;Vladivostok;	43.1666666666666; 	132; 
 'Russia'  is not a country in the system;Vyborg;	60.7; 	28.73333333; 
 'Saint Kitts and Nevis'  is not a country in the system;Basseterre;	17.3; 	-62.71666667; 
 South America;Castries (St Lucia);	14.0166666666666; 	-61;
 South America;Vieux Fort;	13.7166666666666; 	-60.96666667;
 'Saint Vincent and the Grenadines'  is not a country in the system;Kingstown;	13.15; 	-61.23333333; 
 'Samoa'  is not a country in the system;Apia;	-13.8333333333333; 	-171.75; 
 'São Tomé and Príncipe'  is not a country in the system;Santo Antonio;	1.65; 	7.45; 
 'São Tomé and Príncipe'  is not a country in the system;Sao Tome;	0.35; 	6.75; 
 Arabia and Persian Gulf;Dammam;	26.5; 	50.2; 
 Arabia and Persian Gulf;Dhuba;	27.35; 	35.7; 
 Arabia and Persian Gulf;Gizan;	16.9; 	42.48333333; 
 Arabia and Persian Gulf;Jeddah;	21.4666666666666; 	39.16666667; 
 Arabia and Persian Gulf;Jubail;	27.0666666666666; 	49.66666667; 
 Arabia and Persian Gulf;Rabigh;	22.7333333333333; 	38.98333333; 
 Arabia and Persian Gulf;Ras al Mishab;	28.1; 	48.61666667; 
 Arabia and Persian Gulf;Ras Tanura;	26.65; 	50.16666667; 
 Arabia and Persian Gulf;Yanbu;	24.0833333333333; 	38.05; 
 Africa;Dakar;	14.6666666666666; 	-17.43333333; 
 'Seychelles'  is not a country in the system;Port Victoria;	-4.61666666666666; 	55.46666667; 
 Africa;Freetown;	8.5; 	-13.23333333; 
